PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Brad Wanamaker,Derrick White,Keldon Johnson,Rudy Gay,Rudy Gobert,Fred VanVleet,Joe Ingles,Joel Embiid,20200805,348.25,328.5
Eric Bledsoe,James Harden,Ben McLemore,Kyle Kuzma,Ivica Zubac,Gary Trent Jr,Khris Middleton,Damian Lillard,20200806,399.75,399.0
Jrue Holiday,Luguentz Dort,Bogdan Bogdanovic,Al Horford,Jarrett Allen,Alec Burks,Troy Brown Jr,Tobias Harris,20200807,318.25,321.5
CJ McCollum,Jevon Carter,Duncan Robinson,Carmelo Anthony,Brook Lopez,Tyler Herro,Giannis Antetokounmpo,Donovan Mitchell,20200808,376.0,376.0
Austin Rivers,Matisse Thybulle,Josh Richardson,Robert Covington,Jarrett Allen,Damian Lillard,Kawhi Leonard,Gary Clark,20200809,379.75,408.25
Devin Booker,Norman Powell,Jimmy Butler,Chris Boucher,Boban Marjanovic,Cameron Payne,Rayjon Tucker,LeBron James,20200810,352.5,371.25
Ja Morant,Devin Booker,Keldon Johnson,Harrison Barnes,Kyle OQuinn,Damian Lillard,Dzanan Musa,Kristaps Porzingis,20200811,417.25,403.0
James Harden,Furkan Korkmaz,Tobias Harris,Chris Boucher,Darius Bazley,Tyler Herro,Justin Holiday,Nikola Jokic,20200812,379.25,376.0
Damian Lillard,Bogdan Bogdanovic,Josh Hart,Nemanja Bjelica,Boban Marjanovic,Caris LeVert,Jarrell Brantley,Jonas Valanciunas,20200813,448.0,430.5
Terence Davis,Paul Watson,Stanley Johnson,Alize Johnson,Jeff Green,PJ Dozier,Hamidou Diallo,James Harden,20200814,317.0,322.75
Jordan Clarkson,Fred VanVleet,OG Anunoby,Jayson Tatum,Serge Ibaka,Donovan Mitchell,Kawhi Leonard,Marcus Morris,20200817,387.5,383.5
DJ Augustin,Jimmy Butler,Carmelo Anthony,Danilo Gallinari,Jeff Green,Goran Dragic,LeBron James,Nikola Vucevic,20200818,375.5,359.25
Trey Burke,Norman Powell,Royce ONeale,Jayson Tatum,Jarrett Allen,Jordan Clarkson,Kawhi Leonard,Fred VanVleet,20200819,340.75,325.75
Goran Dragic,Kentavious Caldwell-Pope,Pat Connaughton,Jae Crowder,Myles Turner,Shai Gilgeous-Alexander,Giannis Antetokounmpo,Nikola Vucevic,20200820,313.5,316.25
Chris Chiozza,Tyler Johnson,Tim Hardaway Jr,Pascal Siakam,Serge Ibaka,Kemba Walker,Kawhi Leonard,Kristaps Porzingis,20200821,350.75,336.0
DJ Augustin,CJ McCollum,Carmelo Anthony,Jae Crowder,Jeff Green,Goran Dragic,LeBron James,Malcolm Brogdon,20200822,380.25,370.75
Mike Conley,Donovan Mitchell,Norman Powell,Paul Millsap,Serge Ibaka,Reggie Jackson,Jayson Tatum,Jamal Murray,20200823,410.5,396.75
George Hill,James Harden,Danny Green,Mario Hezonja,Myles Turner,Markelle Fultz,Victor Oladipo,Nikola Vucevic,20200824,353.5,337.75
Landry Shamet,Joe Ingles,Marcus Morris,Maxi Kleber,Nikola Jokic,Jamal Murray,Kawhi Leonard,Montrezl Harrell,20200825,308.75,306.5
Anfernee Simons,Kentavious Caldwell-Pope,Robert Covington,Marvin Williams,Darius Bazley,CJ McCollum,Anthony Davis,LeBron James,20200829,348.0,338.5
Reggie Jackson,Donovan Mitchell,Torrey Craig,Daniel Theis,Robert Williams,Kemba Walker,Kawhi Leonard,Jamal Murray,20200830,360.75,338.75
Chris Paul,Jimmy Butler,Robert Covington,Darius Bazley,PJ Tucker,Goran Dragic,Khris Middleton,Brook Lopez,20200831,323.75,323.5
Monte Morris,Torrey Craig,OG Anunoby,Pascal Siakam,Serge Ibaka,Marcus Smart,Jayson Tatum,Rudy Gobert,20200901,288.25,280.75
Goran Dragic,Tyler Herro,Luguentz Dort,Jae Crowder,Kelly Olynyk,Chris Paul,Giannis Antetokounmpo,Robert Covington,20200902,327.5,325.5
Patrick Beverley,Marcus Smart,Jerami Grant,Paul Millsap,Mason Plumlee,Jaylen Brown,OG Anunoby,Kyle Lowry,20200903,258.0,309.75
