PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Giannis Antetokounmpo,Grant Williams,Luguentz Dort,Caleb Swanigan,CJ McCollum,LeBron James,Noah Vonleh,Brad Wanamaker,20200225,226.25392997681425,230.5
Bruno Caboclo,Caleb Martin,Courtney Lee,Luka Doncic,James Harden,Trae Young,Damian Jones,Matthew Dellavedova,20200226,225.55131145339942,213.25
Anthony Davis,Danilo Gallinari,Domantas Sabonis,Terrance Ferguson,CJ McCollum,Hamidou Diallo,JaVale McGee,Avery Bradley,20200227,226.89426889819632,208.5
Giannis Antetokounmpo,Torrey Craig,Michael Kidd-Gilchrist,Caleb Martin,Bradley Beal,Luka Doncic,Tony Bradley,Jevon Carter,20200228,226.51123552965817,230.75
Jared Dudley,LeBron James,Drew Eubanks,Goga Bitadze,James Harden,CJ McCollum,Jakob Poeltl,Jeff Teague,20200229,226.44304506592204,167.5
Michael Kidd-Gilchrist,LeBron James,Kawhi Leonard,Stanley Johnson,Bradley Beal,Jaylen Nowell,Donta Hall,Rajon Rondo,20200301,226.85091873156105,195.75
Giannis Antetokounmpo,Solomon Hill,John Konchar,Drew Eubanks,James Harden,Russell Westbrook,Khem Birch,Frank Ntilikina,20200302,226.54165124923588,188.25
Anthony Davis,LeBron James,Caleb Martin,Luguentz Dort,Bradley Beal,Frank Jackson,Patrick Patterson,Patty Mills,20200303,227.44248073030647,247.75
Giannis Antetokounmpo,Jayson Tatum,Jarrell Brantley,Sterling Brown,Bradley Beal,Reggie Bullock,Jaxson Hayes,DJ Augustin,20200304,227.52724848625795,192.75
Bruno Caboclo,Kawhi Leonard,Rodney McGruder,Caleb Martin,James Harden,Russell Westbrook,Jeff Green,Reggie Jackson,20200305,224.5488463548204,184.75
Anthony Davis,LeBron James,Giannis Antetokounmpo,Bruno Fernando,Pat Connaughton,John Konchar,Cristiano Felicio,Elie Okobo,20200306,227.5690218298938,213.5
Vince Carter,Georges Niang,John Collins,Damian Lillard,Damion Lee,Trae Young,Dragan Bender,Brandon Goodwin,20200307,225.7472240856893,184.75
Marvin Williams,LeBron James,Jayson Tatum,Amir Coffey,James Harden,Kyle Korver,Goga Bitadze,Bryn Forbes,20200308,227.39252105326864,196.25
Chris Boucher,Georges Niang,Pascal Siakam,Nikola Jokic,Norman Powell,Kyle Lowry,Mason Plumlee,Frank Mason III,20200309,223.0597163707331,188.25
Patrick Patterson,LeBron James,Kawhi Leonard,Elie Okobo,James Harden,Brad Wanamaker,Gary Clark,Rajon Rondo,20200310,226.78454619850262,193.75
Jae Crowder,Torrey Craig,Solomon Hill,Joel Embiid,Caleb Martin,Luka Doncic,Donta Hall,Elfrid Payton,20200311,216.44124961465977,249.25
Anthony Davis,LeBron James,Kawhi Leonard,Royce ONeale,ETwaun Moore,Landry Shamet,Patrick Patterson,Frank Jackson,20200730,227.45381176467188,207.0
Giannis Antetokounmpo,DaQuan Jeffries,Keldon Johnson,DJ Wilson,James Harden,Russell Westbrook,Robin Lopez,Chris Chiozza,20200731,226.76553806381517,263.0
Anthony Davis,LeBron James,Torrey Craig,Joel Embiid,Rayjon Tucker,Nickeil Alexander-Walker,Bol Bol,Patrick Beverley,20200801,226.82652591906051,241.75
Jabari Parker,Luka Doncic,Keldon Johnson,Yogi Ferrell,James Harden,Russell Westbrook,Gary Clark,Austin Rivers,20200802,226.71764043854165,231.5
Anthony Davis,LeBron James,Bol Bol,Joel Embiid,Nickeil Alexander-Walker,Quinndary Weatherspoon,Jaxson Hayes,Patty Mills,20200803,226.23611489176875,210.0
Dzanan Musa,Luka Doncic,Wes Iwundu,Grant Williams,James Harden,Damian Lillard,Frank Kaminsky,Brad Wanamaker,20200804,226.60867163233357,233.25
Anthony Davis,LeBron James,Semi Ojeleye,Joel Embiid,Rayjon Tucker,Emmanuel Mudiay,Khem Birch,Patty Mills,20200805,226.58644525856735,172.25
Alize Johnson,Luka Doncic,Jared Dudley,Justin Jackson,James Harden,Damian Lillard,Dwight Howard,Jevon Carter,20200806,226.4872768348339,253.75
Justin Anderson,Andre Roberson,DaQuan Jeffries,Joel Embiid,Jrue Holiday,Kyle Lowry,Alex Len,Marcus Smart,20200807,225.00907752866675,159.25
Anthony Davis,LeBron James,Giannis Antetokounmpo,Pat Connaughton,Anfernee Simons,Talen Horton-Tucker,Goga Bitadze,Alex Caruso,20200808,227.03361524787698,221.0
Abdel Nader,DaQuan Jeffries,Vic Law,Joel Embiid,James Harden,Damian Lillard,Bruno Caboclo,Frank Jackson,20200809,225.7336310937253,183.25
Bol Bol,LeBron James,Anthony Davis,Rayjon Tucker,Devin Booker,Mike Conley,Goga Bitadze,Terence Davis,20200810,226.89365533375314,235.5
Grant Williams,Luka Doncic,Giannis Antetokounmpo,Semi Ojeleye,Sterling Brown,Damian Lillard,Johnathan Williams,George Hill,20200811,226.45303070148674,227.75
Stanley Johnson,Kawhi Leonard,Alize Johnson,Joel Embiid,James Harden,Furkan Korkmaz,Norvel Pelle,Monte Morris,20200812,226.4927130488232,250.25
Michael Kidd-Gilchrist,Luka Doncic,Jusuf Nurkic,Antonius Cleveland,Quinndary Weatherspoon,Damian Lillard,Johnathan Williams,Jevon Carter,20200813,226.255513839527,212.75
Luc Mbah a Moute,Malcolm Miller,Paul Watson,Joel Embiid,James Harden,Chris Clemons,Nikola Jokic,Raul Neto,20200814,224.56949989990915,181.5
JaMychal Green,Luka Doncic,Kawhi Leonard,Joel Embiid,Romeo Langford,Emmanuel Mudiay,Robert Williams,Jordan Clarkson,20200817,225.37815712590915,229.0
Gary Clark,TJ Warren,Marvin Williams,JaKarr Sampson,James Harden,Damian Lillard,Markieff Morris,George Hill,20200818,226.46195728087568,247.25
Grant Williams,Luka Doncic,Kawhi Leonard,Tyler Cook,Donovan Mitchell,Delon Wright,Norvel Pelle,Jordan Clarkson,20200819,226.64521426976546,231.25
Marvin Williams,JR Smith,Jusuf Nurkic,Jaylen Adams,James Harden,Damian Lillard,Khem Birch,Quinn Cook,20200820,226.09890884927387,152.0
Noah Vonleh,Luka Doncic,Keita Bates-Diop,Joel Embiid,Donovan Mitchell,Josh Richardson,Bol Bol,PJ Dozier,20200821,226.19672665546597,203.75
Vic Law,TJ Warren,Giannis Antetokounmpo,Wes Iwundu,James Harden,TJ McConnell,Ersan Ilyasova,Donte DiVincenzo,20200822,226.57972542766683,219.75
Stanley Johnson,Kawhi Leonard,Lance Thomas,Joel Embiid,Donovan Mitchell,Matt Thomas,Donta Hall,Marcus Smart,20200823,225.29349733253957,242.25
Jaylen Hoard,LeBron James,Jared Dudley,Jusuf Nurkic,James Harden,Edmond Sumner,Ersan Ilyasova,Quinn Cook,20200824,221.88058002014924,197.25
Justin Jackson,Luka Doncic,Kawhi Leonard,Antonius Cleveland,Donovan Mitchell,PJ Dozier,JaMychal Green,Monte Morris,20200825,226.4390481548543,171.0
DeMarre Carroll,Jaylen Hoard,Giannis Antetokounmpo,Nikola Vucevic,James Harden,JR Smith,Ersan Ilyasova,Chris Clemons,20200829,226.03854055997766,180.0
Semi Ojeleye,Jayson Tatum,Georges Niang,Torrey Craig,Donovan Mitchell,Jamal Murray,Mason Plumlee,Monte Morris,20200901,224.1214928706284,178.75
Kelly Olynyk,Kyle Korver,Giannis Antetokounmpo,Jeff Green,James Harden,George Hill,Darius Bazley,Austin Rivers,20200902,218.1319740119384,180.25
Semi Ojeleye,Kawhi Leonard,Marcus Morris,Nikola Jokic,Jamal Murray,Brad Wanamaker,Bol Bol,PJ Dozier,20200903,226.0387923429123,150.25
Robert Covington,Dion Waiters,Giannis Antetokounmpo,Jared Dudley,James Harden,Andre Iguodala,Meyers Leonard,Kendrick Nunn,20200904,213.1776380584849,167.5
Semi Ojeleye,Kawhi Leonard,Chris Boucher,Nikola Jokic,Jamal Murray,Matt Thomas,Daniel Theis,Terence Davis,20200907,224.15889294055694,214.25
Semi Ojeleye,Kawhi Leonard,Jayson Tatum,Nikola Jokic,Norman Powell,Landry Shamet,Mason Plumlee,Terance Mann,20200911,224.92119734522203,215.25
Kelly Olynyk,Kawhi Leonard,Keita Bates-Diop,Nikola Jokic,Rodney McGruder,Goran Dragic,Mason Plumlee,Monte Morris,20200915,206.95674540711377,175.5
Jared Dudley,LeBron James,Bol Bol,Nikola Jokic,Jamal Murray,JR Smith,JaVale McGee,Rajon Rondo,20200918,224.77937250615514,137.75
Grant Williams,Jayson Tatum,Jae Crowder,Gordon Hayward,Jimmy Butler,Brad Wanamaker,Kelly Olynyk,Kendrick Nunn,20200919,204.5098830623089,172.0
