PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Cameron Payne,Terry Rozier,Buddy Hield,Robert Covington,Robin Lopez,Kendrick Nunn,Mikal Bridges,Damian Lillard,20210220,341.0,333.25
Saben Lee,Tyrese Haliburton,DaQuan Jeffries,Al-Farouq Aminu,Karl-Anthony Towns,Trae Young,Khris Middleton,Jarrett Allen,20210221,385.75,364.0
Kendrick Nunn,Coby White,Tim Hardaway Jr,Georges Niang,Wendell Carter Jr,Bradley Beal,David Nwaba,Russell Westbrook,20210222,367.75,350.5
Saben Lee,Bryn Forbes,Bruce Brown,Draymond Green,Moritz Wagner,Tyrese Haliburton,Giannis Antetokounmpo,James Harden,20210223,381.75,350.25
Shai Gilgeous-Alexander,Malik Monk,Danilo Gallinari,Jarred Vanderbilt,Steven Adams,Anthony Edwards,Jimmy Butler,Jarrett Allen,20210224,402.0,368.0
Raul Neto,Donte DiVincenzo,Harrison Barnes,Zion Williamson,Dwight Howard,Immanuel Quickley,Giannis Antetokounmpo,Jamal Murray,20210225,368.25,360.0
Kemba Walker,Ty Jerome,Harrison Barnes,Draymond Green,Richaun Holmes,Kyle Lowry,LeBron James,Robert Williams,20210226,403.0,369.75
Jaylen Nowell,Derrick Rose,Garrison Mathews,Isaiah Roby,Julius Randle,TJ McConnell,DeMar DeRozan,Russell Westbrook,20210227,361.75,353.5
Kendrick Nunn,Devin Booker,Buddy Hield,Brandon Clarke,PJ Washington,Bradley Beal,Desmond Bane,John Collins,20210228,404.75,366.0
Shake Milton,Collin Sexton,Furkan Korkmaz,Carmelo Anthony,Robert Covington,Lonzo Ball,Bojan Bogdanovic,James Harden,20210301,406.5,388.75
Reggie Jackson,DeAnthony Melton,Luka Samanic,Dario Saric,Nikola Jokic,Immanuel Quickley,LeBron James,Ja Morant,20210302,374.75,341.0
Dennis Smith Jr,Victor Oladipo,Rodney McGruder,Danilo Gallinari,Montrezl Harrell,TJ McConnell,Kyle Kuzma,James Harden,20210303,433.0,416.0
Cameron Payne,Jordan Poole,Jayson Tatum,Kelly Olynyk,Myles Turner,Dillon Brooks,Julius Randle,DeAaron Fox,20210304,406.5,374.5
Ja Morant,Desmond Bane,Deni Avdija,Rudy Gay,Maxi Kleber,Luka Doncic,DeMar DeRozan,Jonas Valanciunas,20210310,337.5,326.25
Jaylen Nowell,Buddy Hield,Josh Richardson,Jaden McDaniels,Dwight Howard,Kyrie Irving,Jimmy Butler,Chris Boucher,20210311,390.75,362.5
Nickeil Alexander-Walker,Furkan Korkmaz,Will Barton,Kenyon Martin Jr,Nikola Jokic,Malcolm Brogdon,Kyle Kuzma,Donovan Mitchell,20210312,345.5,328.5
LaMelo Ball,Rodney McGruder,Josh Richardson,Henry Ellenson,Rui Hachimura,Russell Westbrook,Domantas Sabonis,Carmelo Anthony,20210313,380.75,353.0
Tomas Satoransky,Anthony Edwards,Patrick Williams,Aleksej Pokusevski,Draymond Green,Norman Powell,Jimmy Butler,Rudy Gobert,20210314,409.75,391.0
Delon Wright,Reggie Bullock,Talen Horton-Tucker,Jeff Green,Brook Lopez,Luka Doncic,Giannis Antetokounmpo,Richaun Holmes,20210315,386.25,354.75
Ricky Rubio,Tony Snell,Danilo Gallinari,Daniel Theis,Moses Brown,LeBron James,JaeSean Tate,Damian Lillard,20210316,396.0,387.0
DeAnthony Melton,Donte DiVincenzo,Pat Connaughton,Saddiq Bey,Robert Williams,Delon Wright,Domantas Sabonis,James Harden,20210317,405.25,387.25
Russell Westbrook,Bogdan Bogdanovic,Alec Burks,Naz Reid,Karl-Anthony Towns,Joe Ingles,Mikal Bridges,Anthony Edwards,20210318,403.0,367.25
Luka Doncic,Damion Lee,Aaron Gordon,Keldon Johnson,Richaun Holmes,TJ McConnell,Tim Hardaway Jr,Andrew Wiggins,20210319,428.25,402.5
Jordan Poole,Desmond Bane,Miles Bridges,Juan Toscano-Anderson,Jonas Valanciunas,Paul George,DeMar DeRozan,Tobias Harris,20210320,345.25,330.0
Chris Paul,Collin Sexton,Isaac Okoro,Brandon Ingram,Alex Len,Russell Westbrook,Talen Horton-Tucker,Mason Plumlee,20210321,367.0,336.25
John Wall,Terance Mann,Jeremy Lamb,JaeSean Tate,Rudy Gobert,Jrue Holiday,Richaun Holmes,Jaylen Brown,20210322,397.75,386.0
Kira Lewis Jr,Nickeil Alexander-Walker,Al-Farouq Aminu,Brandon Ingram,Tony Bradley,Evan Fournier,Tobias Harris,Nikola Jokic,20210323,363.75,357.5
Jalen Brunson,Caris LeVert,Bogdan Bogdanovic,Alize Johnson,Clint Capela,Kemba Walker,Kristaps Porzingis,Nikola Vucevic,20210324,379.0,373.75
Reggie Jackson,Tyler Herro,Danny Green,Juan Toscano-Anderson,Bam Adebayo,CJ McCollum,RJ Barrett,DeAaron Fox,20210325,392.75,372.25
