Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20200221,Aaron Gordon,Orl,34.37,4,13,0.308,0,3,0.0,2,4,0.5,2,10,12,7,2,1,2,5,10,1
20200224,Aaron Gordon,Orl,41.15,11,16,0.688,3,4,0.75,2,2,1.0,3,7,10,4,1,2,2,2,27,1
20200226,Aaron Gordon,Orl,40.55,9,14,0.643,3,4,0.75,4,4,1.0,3,7,10,6,1,3,1,0,25,6
20200228,Aaron Gordon,Orl,41.01,6,13,0.462,1,6,0.167,4,5,0.8,2,9,11,12,0,2,2,2,17,0
20200229,Aaron Gordon,Orl,35.58,2,5,0.4,0,2,0.0,3,8,0.375,0,6,6,6,1,0,3,2,7,-12
20200304,Aaron Gordon,Orl,35.43,5,10,0.5,0,3,0.0,1,1,1.0,1,5,6,9,2,0,1,4,11,8
20200306,Aaron Gordon,Orl,37.0,6,15,0.4,0,4,0.0,3,6,0.5,2,8,10,4,1,1,1,0,15,18
20200308,Aaron Gordon,Orl,35.39,7,17,0.412,1,3,0.333,4,5,0.8,5,5,10,4,3,2,4,1,19,21
20200310,Aaron Gordon,Orl,31.36,3,8,0.375,0,2,0.0,2,2,1.0,0,7,7,9,1,1,2,4,8,-13
20200731,Aaron Gordon,Orl,26.0,2,5,0.4,0,1,0.0,6,8,0.75,0,11,11,2,0,0,1,1,10,24
20200802,Aaron Gordon,Orl,24.05,8,12,0.667,3,3,1.0,3,3,1.0,0,5,5,3,0,0,2,2,22,23
20200804,Aaron Gordon,Orl,33.0,8,15,0.533,2,5,0.4,2,4,0.5,2,5,7,3,1,0,1,5,20,-12
20200805,Aaron Gordon,Orl,20.2,3,9,0.333,0,2,0.0,3,6,0.5,2,9,11,5,0,3,2,1,9,-7
20201223,Aaron Gordon,Orl,26.0,8,11,0.727,1,4,0.25,3,6,0.5,3,4,7,0,4,0,2,4,20,17
20201226,Aaron Gordon,Orl,29.39,6,12,0.5,1,2,0.5,2,4,0.5,1,8,9,3,0,0,0,3,15,16
20201227,Aaron Gordon,Orl,19.48,1,4,0.25,0,1,0.0,2,2,1.0,0,6,6,0,0,0,0,0,4,-12
20201229,Aaron Gordon,Orl,22.1,5,10,0.5,0,3,0.0,2,2,1.0,0,5,5,2,1,1,3,2,12,1
20201231,Aaron Gordon,Orl,20.49,1,8,0.125,0,4,0.0,4,5,0.8,0,3,3,1,0,2,2,0,6,-23
20210102,Aaron Gordon,Orl,27.44,6,15,0.4,1,6,0.167,2,3,0.667,1,7,8,5,0,0,0,0,15,-2
20210104,Aaron Gordon,Orl,27.55,9,17,0.529,6,9,0.667,0,0,0.0,6,5,11,1,1,0,2,1,24,6
20210106,Aaron Gordon,Orl,27.09,5,7,0.714,2,2,1.0,3,7,0.429,0,8,8,3,1,1,5,1,15,8
20210109,Aaron Gordon,Orl,35.32,6,16,0.375,1,7,0.143,3,6,0.5,0,4,4,5,1,1,2,3,16,-3
20210111,Aaron Gordon,Orl,35.14,8,14,0.571,3,4,0.75,2,3,0.667,2,3,5,8,1,2,4,2,21,-17
20210115,Aaron Gordon,Orl,28.43,5,12,0.417,3,5,0.6,4,8,0.5,2,0,2,3,0,0,2,1,17,-12
20210116,Aaron Gordon,Orl,30.55,4,11,0.364,0,6,0.0,3,4,0.75,2,4,6,6,2,0,3,1,11,-5
20210118,Aaron Gordon,Orl,35.57,6,18,0.333,2,7,0.286,4,4,1.0,7,10,17,10,0,2,4,2,18,15
20210120,Aaron Gordon,Orl,35.37,3,9,0.333,1,4,0.25,6,8,0.75,2,7,9,7,1,4,4,2,13,9
20210122,Aaron Gordon,Orl,37.23,6,10,0.6,4,7,0.571,1,2,0.5,2,7,9,9,0,2,6,5,17,6
20210125,Aaron Gordon,Orl,33.32,3,9,0.333,2,4,0.5,4,10,0.4,1,10,11,7,0,1,3,2,12,14
20210127,Aaron Gordon,Orl,26.25,1,9,0.111,1,3,0.333,0,0,0.0,1,4,5,5,0,0,4,4,3,-23
20210129,Aaron Gordon,Orl,28.44,4,13,0.308,1,1,1.0,0,0,0.0,2,5,7,2,1,0,6,3,9,-27
20210131,Aaron Gordon,Orl,22.45,4,8,0.5,2,5,0.4,4,6,0.667,1,4,5,3,1,0,1,2,14,-8
20210311,Aaron Gordon,Orl,13.56,3,8,0.375,0,1,0.0,3,3,1.0,0,2,2,0,0,1,0,3,9,5
20210318,Aaron Gordon,Orl,31.22,6,11,0.545,1,2,0.5,4,6,0.667,0,5,5,7,0,0,0,1,17,8
20210319,Aaron Gordon,Orl,36.0,14,20,0.7,7,8,0.875,3,6,0.5,3,3,6,4,1,0,7,1,38,5
20210321,Aaron Gordon,Orl,32.59,3,13,0.231,2,7,0.286,4,6,0.667,1,5,6,5,0,0,2,3,12,-9
20210323,Aaron Gordon,Orl,35.27,6,13,0.462,1,5,0.2,0,0,0.0,1,2,3,6,1,1,3,1,13,-2
20210324,Aaron Gordon,Orl,33.53,5,15,0.333,0,5,0.0,3,4,0.75,1,6,7,3,0,2,2,2,13,-2
20210328,Aaron Gordon,Den,20.41,6,9,0.667,1,4,0.25,0,0,0.0,0,2,2,1,1,0,0,1,13,17
20210330,Aaron Gordon,Den,24.33,3,4,0.75,0,0,0.0,0,0,0.0,0,4,4,1,1,0,3,2,6,19
20210401,Aaron Gordon,Den,38.43,6,13,0.462,1,4,0.25,1,4,0.25,1,5,6,6,3,2,1,1,14,12
20210404,Aaron Gordon,Den,34.34,10,13,0.769,1,1,1.0,3,5,0.6,3,4,7,2,0,2,1,0,24,12
20210406,Aaron Gordon,Den,22.47,2,4,0.5,1,3,0.333,4,4,1.0,1,3,4,3,0,0,1,0,9,9
20210407,Aaron Gordon,Den,24.03,4,8,0.5,0,2,0.0,1,1,1.0,0,2,2,3,2,1,2,3,9,2
20210409,Aaron Gordon,Den,31.12,5,11,0.455,1,4,0.25,0,0,0.0,0,1,1,2,0,1,1,4,11,-7
20210411,Aaron Gordon,Den,31.03,2,5,0.4,1,3,0.333,2,2,1.0,2,5,7,2,0,1,0,1,7,10
20210412,Aaron Gordon,Den,23.27,3,5,0.6,1,2,0.5,2,2,1.0,1,5,6,3,1,0,1,3,9,-15
20210414,Aaron Gordon,Den,26.33,7,11,0.636,1,3,0.333,1,2,0.5,5,4,9,3,0,0,1,2,16,10
